Fold,Métrica,Score
1,Acurácia,0.9951642901425914
2,Acurácia,0.9950402975821451
3,Acurácia,0.9956602603843769
4,Acurácia,0.9960939921879843
5,Acurácia,0.995473990947982
1,Precisão,0.9951640846064382
2,Precisão,0.995040956066516
3,Precisão,0.9956627938228302
4,Precisão,0.9960938599840651
5,Precisão,0.9954745627832713
1,Recall,0.9951642901425914
2,Recall,0.9950402975821451
3,Recall,0.9956602603843769
4,Recall,0.9960939921879843
5,Recall,0.995473990947982
1,F1-Score,0.9951640472193894
2,F1-Score,0.995039629960053
3,F1-Score,0.9956607641477232
4,F1-Score,0.9960938286512055
5,F1-Score,0.9954741795259812
1,ROC-AUC,0.9998844548163877
2,ROC-AUC,0.999772446091537
3,ROC-AUC,0.99988476777734
4,ROC-AUC,0.9997175749747201
5,ROC-AUC,0.9997982208882338
